"timestamp","acc1","acc2","acc3","gyro1","gyro2","gyro3","orientation1","orientation2","orientation3","orientation4","emg1","emg2","emg3","emg4","emg5","emg6","emg7","emg8"
"19:50:04.185802","849","-234","1679","-590","-94","172","-12317","-1255","3848","-10018","-3","-2","-2","-1","3","-1","0","-2"
"19:50:04.186122","849","-234","1679","-590","-94","172","-12317","-1255","3848","-10018","-2","-1","1","-1","0","0","-2","3"
"19:50:04.202563","849","-234","1679","-590","-94","172","-12317","-1255","3848","-10018","1","6","1","0","-1","-1","1","1"
"19:50:04.202869","849","-234","1679","-590","-94","172","-12317","-1255","3848","-10018","-4","-4","-2","-4","-3","-1","-3","-2"
"19:50:04.208208","886","-521","1682","-412","-52","143","-12301","-1188","3913","-10021","0","1","-1","-1","-2","-2","0","0"
"19:50:04.208544","886","-521","1682","-412","-52","143","-12301","-1188","3913","-10021","-2","-4","-2","1","0","0","-2","-1"
"19:50:04.218277","886","-521","1682","-412","-52","143","-12301","-1188","3913","-10021","1","3","-1","-2","0","-1","0","-2"
"19:50:04.218758","886","-521","1682","-412","-52","143","-12301","-1188","3913","-10021","-1","-3","-3","-3","-9","-1","-2","1"
"19:50:04.231163","911","-509","1726","-170","-39","155","-12281","-1155","3948","-10035","-1","0","-4","-5","5","-3","-3","-1"
"19:50:04.231532","911","-509","1726","-170","-39","155","-12281","-1155","3948","-10035","0","0","1","3","5","2","-1","0"
"19:50:04.240709","911","-509","1726","-170","-39","155","-12281","-1155","3948","-10035","1","-5","-3","-2","-2","5","-2","0"
"19:50:04.241093","911","-509","1726","-170","-39","155","-12281","-1155","3948","-10035","-4","-3","0","1","-3","-4","0","-2"
"19:50:04.246028","936","-347","1664","-61","30","123","-12270","-1144","3956","-10047","0","2","4","13","8","6","3","1"
"19:50:04.246506","936","-347","1664","-61","30","123","-12270","-1144","3956","-10047","2","16","2","1","3","1","0","-2"
"19:50:04.262852","936","-347","1664","-61","30","123","-12270","-1144","3956","-10047","-11","-27","-5","2","5","-2","-2","-2"
"19:50:04.263200","936","-347","1664","-61","30","123","-12270","-1144","3956","-10047","-3","11","-3","-9","-5","-2","-2","-4"
"19:50:04.268306","934","-346","1625","17","125","129","-12260","-1134","3945","-10065","-1","0","-4","-6","-11","-8","-3","-3"
"19:50:04.268651","934","-346","1625","17","125","129","-12260","-1134","3945","-10065","0","-6","0","0","-4","-1","-2","0"
"19:50:04.278159","934","-346","1625","17","125","129","-12260","-1134","3945","-10065","2","11","-1","-5","-7","-2","-1","-1"
"19:50:04.278570","934","-346","1625","17","125","129","-12260","-1134","3945","-10065","-1","-7","-5","-4","0","0","-2","-1"
"19:50:04.291318","898","-478","1646","-84","169","170","-12247","-1093","3944","-10086","-3","-3","1","2","1","0","0","0"
"19:50:04.291664","898","-478","1646","-84","169","170","-12247","-1093","3944","-10086","1","-3","-1","-4","-3","-1","2","-2"
"19:50:04.300479","898","-478","1646","-84","169","170","-12247","-1093","3944","-10086","0","5","1","1","1","-1","0","-1"
"19:50:04.300837","898","-478","1646","-84","169","170","-12247","-1093","3944","-10086","-1","-26","-4","0","-1","0","-2","-2"
"19:50:04.305776","811","-364","1687","-101","166","182","-12236","-1053","3932","-10108","4","21","3","-2","2","2","-1","0"
"19:50:04.306135","811","-364","1687","-101","166","182","-12236","-1053","3932","-10108","-2","-11","-2","0","-1","-1","-1","0"
