"2018-03-27T16:02:17.170024","acc","-335","-1278","-1756","gyro","9","-2","-3","orientation","-4199","14537","5526","-2988",
"2018-03-27T16:02:17.177453","emg","-1","-2","-2","-1","0","-6","-7","-2"
"2018-03-27T16:02:17.177769","emg","-2","1","-3","-4","-2","4","4","-2"
"2018-03-27T16:02:17.186139","emg","2","1","2","-1","2","-3","3","3"
"2018-03-27T16:02:17.186550","emg","0","0","-1","-1","-2","-3","-3","-2"
"2018-03-27T16:02:17.188706","acc","-338","-1264","-1771","gyro","15","2","-1","orientation","-4198","14537","5526","-2988"
"2018-03-27T16:02:17.192203","emg","1","-1","-1","-3","-3","-2","1","1"
"2018-03-27T16:02:17.192514","emg","1","-2","-1","-1","-2","-1","3","-2","2018-03-27T16:02:17.191789"
"2018-03-27T16:02:17.207688","emg","-1","-1","-1","-1","-1","-1","1","-1","2018-03-27T16:02:17.206769"
"2018-03-27T16:02:17.208121","emg","0","2","-1","-2","-2","2","3","0","2018-03-27T16:02:17.207207"
"2018-03-27T16:02:17.208980","acc","-348","-1255","-1769","gyro","5","5","-2","quat","-4198","14537","5526","-2988","2018-03-27T16:02:17.208325"
"2018-03-27T16:02:17.214888","emg","-2","0","-2","0","0","-3","-1","0","2018-03-27T16:02:17.213889"
"2018-03-27T16:02:17.215165","emg","-1","-2","1","1","1","3","2","3","2018-03-27T16:02:17.214440"
"2018-03-27T16:02:17.222712","emg","-1","-1","-2","-1","-2","-2","-4","0","2018-03-27T16:02:17.221745"
"2018-03-27T16:02:17.222991","emg","-3","-2","-3","-2","-3","-6","-4","-2","2018-03-27T16:02:17.222283"
"2018-03-27T16:02:17.229898","acc","-340","-1252","-1764","gyro","-2","2","0","quat","-4197","14537","5526","-2988","2018-03-27T16:02:17.228993"
"2018-03-27T16:02:17.237620","emg","1","-1","-1","-2","0","5","3","1","2018-03-27T16:02:17.236556"
"2018-03-27T16:02:17.237939","emg","2","-1","0","0","-1","-2","-1","-1","2018-03-27T16:02:17.237097"
"2018-03-27T16:02:17.245425","emg","-1","-3","-1","0","-2","-2","-5","-3","2018-03-27T16:02:17.244433"
"2018-03-27T16:02:17.245754","emg","0","-1","0","-2","1","1","6","2","2018-03-27T16:02:17.244933"
"2018-03-27T16:02:17.247064","acc","-340","-1250","-1761","gyro","-15","-5","5","quat","-4197","14538","5526","-2988","2018-03-27T16:02:17.246210"
"2018-03-27T16:02:17.252333","emg","-3","0","-1","1","0","1","-3","-2","2018-03-27T16:02:17.251246"
"2018-03-27T16:02:17.252672","emg","-1","0","2","0","-1","-2","4","1","2018-03-27T16:02:17.251818"
"2018-03-27T16:02:17.268221","emg","0","-1","0","0","0","-1","1","-1","2018-03-27T16:02:17.267141"
"2018-03-27T16:02:17.268561","emg","-1","-2","-1","-1","-1","-4","-6","-2","2018-03-27T16:02:17.267671"
"2018-03-27T16:02:17.269679","acc","-340","-1255","-1767","gyro","-12","-8","5","quat","-4197","14538","5526","-2988","2018-03-27T16:02:17.268946"
"2018-03-27T16:02:17.274862","emg","0","-4","0","-3","0","1","5","0","2018-03-27T16:02:17.273821"
"2018-03-27T16:02:17.275183","emg","-1","-3","0","-1","-2","-7","-7","-3","2018-03-27T16:02:17.274369"
"2018-03-27T16:02:17.290494","emg","-1","0","-1","0","-3","-7","-10","0","2018-03-27T16:02:17.289473"
"2018-03-27T16:02:17.290827","emg","-1","-2","-2","-3","-2","-4","0","-1","2018-03-27T16:02:17.290034"
"2018-03-27T16:02:17.291932","acc","-333","-1272","-1764","gyro","6","-9","2","quat","-4197","14538","5526","-2988","2018-03-27T16:02:17.291251"
"2018-03-27T16:02:17.297072","emg","-1","-1","-2","0","1","1","2","0","2018-03-27T16:02:17.296207"
"2018-03-27T16:02:17.297387","emg","-1","0","-2","-3","-2","-3","-2","-1","2018-03-27T16:02:17.296677"
"2018-03-27T16:02:17.305700","emg","-1","-1","-3","-1","-2","-3","-1","-2","2018-03-27T16:02:17.304659"
"2018-03-27T16:02:17.306069","emg","1","-1","0","0","-1","1","-3","0","2018-03-27T16:02:17.305209"
"2018-03-27T16:02:17.307349","acc","-334","-1264","-1762","gyro","3","-4","3","quat","-4197","14538","5526","-2988","2018-03-27T16:02:17.306494"
"2018-03-27T16:02:17.320020","emg","-1","0","1","-3","-2","0","1","-1","2018-03-27T16:02:17.319091"
"2018-03-27T16:02:17.320296","emg","-2","-2","-1","1","0","2","-1","-1","2018-03-27T16:02:17.319571"
"2018-03-27T16:02:17.327750","emg","-2","0","-2","-3","-1","2","0","-1","2018-03-27T16:02:17.326872"
