"timestamp","acc1","acc2","acc3","gyro1","gyro2","gyro3","orientation1","orientation2","orientation3","orientation4","emg1","emg2","emg3","emg4","emg5","emg6","emg7","emg8"
"20:41:59.703675","678","962","1477","-49","14","-2","-15287","-4870","2459","-2239","1","5","-1","0","-1","0","-2","-6"
"20:41:59.704037","678","962","1477","-49","14","-2","-15287","-4870","2459","-2239","2","-4","-1","0","-1","1","-4","5"
"20:41:59.713182","678","962","1477","-49","14","-2","-15287","-4870","2459","-2239","5","-6","-1","0","1","-2","0","-2"
"20:41:59.713590","678","962","1477","-49","14","-2","-15287","-4870","2459","-2239","-7","-3","-1","1","0","-1","9","2"
"20:41:59.726881","679","959","1482","-45","14","-2","-15290","-4861","2457","-2239","6","-1","-2","-1","-1","-2","-9","3"
"20:41:59.727374","679","959","1482","-45","14","-2","-15290","-4861","2457","-2239","1","-1","-1","0","-1","1","-1","-6"
"20:41:59.733266","679","959","1482","-45","14","-2","-15290","-4861","2457","-2239","-10","-1","-1","-1","-1","-6","1","-2"
"20:41:59.733591","679","959","1482","-45","14","-2","-15290","-4861","2457","-2239","-3","-4","0","-2","0","2","1","2"
"20:41:59.740673","658","968","1481","-29","19","-12","-15293","-4856","2452","-2236","2","3","0","1","2","8","-2","0"
"20:41:59.740984","658","968","1481","-29","19","-12","-15293","-4856","2452","-2236","1","-1","-1","-4","-3","-20","-5","0"
"20:41:59.755529","658","968","1481","-29","19","-12","-15293","-4856","2452","-2236","-13","-2","0","0","-1","6","1","-1"
"20:41:59.755840","658","968","1481","-29","19","-12","-15293","-4856","2452","-2236","13","6","0","0","-1","2","-6","-4"
"20:41:59.763450","635","950","1477","-15","4","-14","-15293","-4855","2451","-2236","-9","-2","-2","-2","-1","-3","-2","-6"
"20:41:59.763763","635","950","1477","-15","4","-14","-15293","-4855","2451","-2236","-2","-3","-1","1","0","7","1","-1"
"20:41:59.772739","635","950","1477","-15","4","-14","-15293","-4855","2451","-2236","3","-2","-2","-1","0","0","3","-4"
"20:41:59.773052","635","950","1477","-15","4","-14","-15293","-4855","2451","-2236","-12","2","0","-3","-2","-3","1","8"
"20:41:59.787001","661","962","1484","-27","0","-11","-15295","-4850","2449","-2234","0","-7","-2","-3","-1","0","-3","-1"
"20:41:59.787362","661","962","1484","-27","0","-11","-15295","-4850","2449","-2234","-3","10","2","2","-2","3","6","-2"
"20:41:59.793506","661","962","1484","-27","0","-11","-15295","-4850","2449","-2234","14","9","2","0","-2","-3","0","-10"
"20:41:59.793976","661","962","1484","-27","0","-11","-15295","-4850","2449","-2234","8","2","-1","1","2","-1","-3","-10"
"20:41:59.800918","677","951","1472","-25","5","-6","-15297","-4845","2449","-2233","-1","-1","-2","0","-1","-12","-5","31"
"20:41:59.801293","677","951","1472","-25","5","-6","-15297","-4845","2449","-2233","-23","-11","-4","-5","-1","3","2","-23"
"20:41:59.816054","677","951","1472","-25","5","-6","-15297","-4845","2449","-2233","-10","-5","-1","2","1","-5","2","-7"
"20:41:59.816416","677","951","1472","-25","5","-6","-15297","-4845","2449","-2233","3","2","-1","-1","-2","-3","-1","2"
"20:41:59.823342","681","959","1490","-11","7","-8","-15297","-4845","2449","-2233","-1","-3","0","-2","-1","3","2","-4"
"20:41:59.823706","681","959","1490","-11","7","-8","-15297","-4845","2449","-2233","10","0","1","0","-2","-1","0","7"
